rut,nombre,apellido,correo,rol,contraseña
72257804-K,Carlos,González,carlos.gonzález27@dominiofalso.cl,socio,Contraseñadeprueba00.
63149062-K,Felipe,Soto,felipe.soto54@dominiofalso.cl,socio,Contraseñadeprueba00.
3556215-K,Fernanda,Muñoz,fernanda.muñoz64@dominiofalso.cl,socio,Contraseñadeprueba00.
70081983-3,Tomás,Gutiérrez,tomás.gutiérrez66@dominiofalso.cl,socio,Contraseñadeprueba00.
99737847-4,Miguel,Castillo,miguel.castillo20@dominiofalso.cl,socio,Contraseñadeprueba00.
61990635-7,Isidora,Hernández,isidora.hernández21@dominiofalso.cl,socio,Contraseñadeprueba00.
5083108-6,Miguel,Silva,miguel.silva99@dominiofalso.cl,admin,Contraseñadeprueba00.
12506158-3,Juan,Valenzuela,juan.valenzuela38@dominiofalso.cl,socio,Contraseñadeprueba00.
32190495-5,José,Espinoza,josé.espinoza4@dominiofalso.cl,socio,Contraseñadeprueba00.
94699287-9,Martina,González,martina.gonzález88@dominiofalso.cl,socio,Contraseñadeprueba00.
37462937-9,Andrés,Torres,andrés.torres25@dominiofalso.cl,socio,Contraseñadeprueba00.
39722748-0,Francisca,Contreras,francisca.contreras52@dominiofalso.cl,socio,Contraseñadeprueba00.
58506157-3,Isidora,Martínez,isidora.martínez66@dominiofalso.cl,socio,Contraseñadeprueba00.
32063255-2,Sebastián,Rodríguez,sebastián.rodríguez11@dominiofalso.cl,socio,Contraseñadeprueba00.
31453469-7,Pedro,Rojas,pedro.rojas38@dominiofalso.cl,socio,Contraseñadeprueba00.
28706303-2,María,Fernández,maría.fernández26@dominiofalso.cl,socio,Contraseñadeprueba00.
20210924-1,Diego,González,diego.gonzález64@dominiofalso.cl,admin,Contraseñadeprueba00.
92070803-K,Vicente,Pérez,vicente.pérez45@dominiofalso.cl,socio,Contraseñadeprueba00.
83672120-9,Luis,Araya,luis.araya88@dominiofalso.cl,socio,Contraseñadeprueba00.
6533853-K,Valentina,Silva,valentina.silva76@dominiofalso.cl,socio,Contraseñadeprueba00.
52176252-7,José,Soto,josé.soto13@dominiofalso.cl,socio,Contraseñadeprueba00.
2056344-3,Javier,Espinoza,javier.espinoza48@dominiofalso.cl,socio,Contraseñadeprueba00.
16716221-5,Catalina,Sepúlveda,catalina.sepúlveda3@dominiofalso.cl,socio,Contraseñadeprueba00.
87566989-3,Sebastián,Torres,sebastián.torres38@dominiofalso.cl,socio,Contraseñadeprueba00.
53937272-6,Sebastián,Contreras,sebastián.contreras91@dominiofalso.cl,socio,Contraseñadeprueba00.
47428136-1,Benjamín,Rojas,benjamín.rojas62@dominiofalso.cl,socio,Contraseñadeprueba00.
73230580-7,Tomás,Hernández,tomás.hernández48@dominiofalso.cl,socio,Contraseñadeprueba00.
65719315-1,Sebastián,Martínez,sebastián.martínez5@dominiofalso.cl,socio,Contraseñadeprueba00.
91943525-9,Antonia,Morales,antonia.morales36@dominiofalso.cl,socio,Contraseñadeprueba00.
86902682-4,Juan,Soto,juan.soto14@dominiofalso.cl,socio,Contraseñadeprueba00.
37410728-3,Sofía,Reyes,sofía.reyes10@dominiofalso.cl,socio,Contraseñadeprueba00.
36223320-8,Camila,Hernández,camila.hernández72@dominiofalso.cl,socio,Contraseñadeprueba00.
28187648-1,Constanza,Castro,constanza.castro77@dominiofalso.cl,socio,Contraseñadeprueba00.
75230270-7,Martina,Castillo,martina.castillo88@dominiofalso.cl,socio,Contraseñadeprueba00.
7942783-7,Francisca,Contreras,francisca.contreras57@dominiofalso.cl,socio,Contraseñadeprueba00.
79282260-6,Ana,Vásquez,ana.vásquez6@dominiofalso.cl,socio,Contraseñadeprueba00.
5633765-2,José,Vásquez,josé.vásquez36@dominiofalso.cl,socio,Contraseñadeprueba00.
71708912-K,Catalina,Muñoz,catalina.muñoz4@dominiofalso.cl,socio,Contraseñadeprueba00.
64142041-7,Pedro,Silva,pedro.silva43@dominiofalso.cl,socio,Contraseñadeprueba00.
87277068-2,Matías,Vargas,matías.vargas14@dominiofalso.cl,socio,Contraseñadeprueba00.
44486682-9,Ana,Contreras,ana.contreras63@dominiofalso.cl,socio,Contraseñadeprueba00.
75709785-0,Diego,Reyes,diego.reyes4@dominiofalso.cl,socio,Contraseñadeprueba00.
35761759-6,María,Morales,maría.morales45@dominiofalso.cl,socio,Contraseñadeprueba00.
2893405-K,Benjamín,Valenzuela,benjamín.valenzuela23@dominiofalso.cl,socio,Contraseñadeprueba00.
89200505-2,Antonia,Valenzuela,antonia.valenzuela94@dominiofalso.cl,socio,Contraseñadeprueba00.
85947665-1,Carlos,Ramírez,carlos.ramírez16@dominiofalso.cl,socio,Contraseñadeprueba00.
75160792-K,Juan,Rojas,juan.rojas83@dominiofalso.cl,socio,Contraseñadeprueba00.
88994116-2,Javier,Fernández,javier.fernández90@dominiofalso.cl,socio,Contraseñadeprueba00.
22093235-4,Luis,López,luis.lópez93@dominiofalso.cl,socio,Contraseñadeprueba00.
49187349-3,Matías,Pérez,matías.pérez8@dominiofalso.cl,socio,Contraseñadeprueba00.
77898694,Isabella,Ortiz,iortizm@gmail.com,socio,False,False,2024-11-12,iortizm@gmail.com
48250360,Elena,Gutierrez,egutierrezr@gmail.com,socio,True,False,2024-04-27,egutierrezr@gmail.com
80993218,Franco,Flores,ffloresa@gmail.com,socio,True,False,2023-12-26,ffloresa@gmail.com
25492573,Elena,Perez,eperezs@gmail.com,socio,True,False,2025-01-20,eperezs@gmail.com
95125977,Laura,Castillo,lcastillom@gmail.com,socio,False,False,2025-02-20,lcastillom@gmail.com
95132217,Marcos,Munoz,mmunozr@gmail.com,socio,True,False,2025-11-01,mmunozr@gmail.com
31687165,Valentina,Alarcon,valarcons@gmail.com,socio,True,False,2025-10-26,valarcons@gmail.com
30005727,Elena,Cruz,ecruzj@gmail.com,socio,True,False,2024-10-22,ecruzj@gmail.com
15614174,Valentina,Arias,variasp@gmail.com,socio,False,False,2025-09-25,variasp@gmail.com
99514287,Martina,Bravo,mbravog@gmail.com,socio,False,False,2024-04-10,mbravog@gmail.com
30743797,Gabriel,Vega,gvegad@gmail.com,socio,False,False,2025-05-07,gvegad@gmail.com
54585178,Sofia,Lopez,slopezd@gmail.com,socio,True,False,2025-05-25,slopezd@gmail.com
15197528,Benjamin,Herrera,bherrerai@gmail.com,socio,True,False,2024-07-21,bherrerai@gmail.com
40547349,Paula,Flores,pfloresi@gmail.com,socio,True,False,2025-04-21,pfloresi@gmail.com
47463522,Catalina,Ibarra,cibarrar@gmail.com,socio,False,False,2023-12-10,cibarrar@gmail.com
25480907,Sebastian,Castillo,scastillog@gmail.com,socio,True,False,2025-02-06,scastillog@gmail.com
52101056,Franco,Arias,fariasr@gmail.com,socio,False,False,2024-10-06,fariasr@gmail.com
68526649,Martina,Silva,msilvam@gmail.com,socio,True,False,2024-05-02,msilvam@gmail.com
36445607,Alonso,Diaz,adiazb@gmail.com,socio,False,False,2023-12-25,adiazb@gmail.com
26726926,Franco,Castillo,fcastillob@gmail.com,socio,True,False,2023-12-23,fcastillob@gmail.com
84411983,Florencia,Cruz,fcruzv@gmail.com,socio,False,False,2023-12-25,fcruzv@gmail.com
33357554,Pablo,Diaz,pdiazj@gmail.com,socio,True,False,2025-11-04,pdiazj@gmail.com
87844239,Martina,Arias,mariasf@gmail.com,socio,True,False,2024-08-09,mariasf@gmail.com
32775593,Camila,Fuentes,cfuentesf@gmail.com,socio,True,False,2023-12-26,cfuentesf@gmail.com
41523529,Antonia,Rojas,arojasg@gmail.com,socio,True,False,2025-04-15,arojasg@gmail.com
92043803,Mateo,Gutierrez,mgutierrezf@gmail.com,socio,True,False,2024-01-30,mgutierrezf@gmail.com
76354180,Laura,Cruz,lcruzh@gmail.com,socio,True,False,2024-01-03,lcruzh@gmail.com
24305904,Elena,Echeverria,eecheverriai@gmail.com,socio,True,False,2023-11-23,eecheverriai@gmail.com
26288475,Mateo,Ortiz,mortizg@gmail.com,socio,True,False,2024-07-17,mortizg@gmail.com
69401199,Sebastian,Vega,svegac@gmail.com,socio,True,False,2024-04-22,svegac@gmail.com
73709724,Tomas,Diaz,tdiazi@gmail.com,socio,True,False,2025-02-24,tdiazi@gmail.com
79967676,Catalina,Echeverria,cecheverriae@gmail.com,socio,True,False,2024-08-11,cecheverriae@gmail.com
55076693,Diego,Gutierrez,dgutierrezs@gmail.com,socio,True,False,2025-06-16,dgutierrezs@gmail.com
38716269,Florencia,Cruz,fcruzp@gmail.com,socio,True,False,2024-12-01,fcruzp@gmail.com
66390708,Gabriel,Munoz,gmunozm@gmail.com,socio,True,False,2024-03-25,gmunozm@gmail.com
62343121,Sofia,Rodriguez,srodriguezv@gmail.com,socio,True,False,2024-04-24,srodriguezv@gmail.com
39450273,Elena,Gutierrez,egutierrezf@gmail.com,socio,True,False,2025-10-06,egutierrezf@gmail.com
64266464,Pablo,Bravo,pbravof@gmail.com,socio,False,False,2025-06-27,pbravof@gmail.com
62884503,Sebastian,Gonzalez,sgonzalezk@gmail.com,socio,True,False,2024-08-23,sgonzalezk@gmail.com
44917589,Maria,Lopez,mlopezm@gmail.com,socio,True,False,2024-07-27,mlopezm@gmail.com
47346970,Clara,Juarez,cjuarezh@gmail.com,socio,True,False,2025-08-13,cjuarezh@gmail.com
56970882,Alonso,Ortiz,aortizm@gmail.com,socio,True,False,2024-01-07,aortizm@gmail.com
12735359,Sofia,Gutierrez,sgutierrezm@gmail.com,socio,True,False,2024-07-08,sgutierrezm@gmail.com
44392446,Jose,Martinez,jmartinezr@gmail.com,socio,False,False,2024-02-22,jmartinezr@gmail.com
31980274,Laura,Sanchez,lsancheze@gmail.com,socio,False,False,2025-10-09,lsancheze@gmail.com
60372847,Jose,Bravo,jbravok@gmail.com,socio,True,False,2024-03-08,jbravok@gmail.com
50477742,Andrea,Gutierrez,agutierrezs@gmail.com,socio,True,False,2024-05-08,agutierrezs@gmail.com
96911784,Ignacio,Rojas,irojasm@gmail.com,socio,True,False,2024-08-31,irojasm@gmail.com
95306788,Benjamin,Arias,bariasr@gmail.com,socio,True,False,2025-05-08,bariasr@gmail.com
