rut,nombre,apellido,correo,rol,contraseña
27013937,Martina,Álvarez,martina.álvarez72@dominiofalso.cl,socio,Contraseñadeprueba00.
918148264,Luis,Soto,luis.soto36@dominiofalso.cl,socio,Contraseñadeprueba00.
794289344,Ana,Castro,ana.castro35@dominiofalso.cl,socio,Contraseñadeprueba00.
548009510,Camila,Díaz,camila.díaz1@dominiofalso.cl,socio,Contraseñadeprueba00.
129366184,Valentina,Contreras,valentina.contreras63@dominiofalso.cl,socio,Contraseñadeprueba00.
697446966,Isidora,Vargas,isidora.vargas28@dominiofalso.cl,socio,Contraseñadeprueba00.
459209093,Vicente,Flores,vicente.flores66@dominiofalso.cl,socio,Contraseñadeprueba00.
441340834,María,Silva,maría.silva62@dominiofalso.cl,socio,Contraseñadeprueba00.
485603123,Benjamín,Pérez,benjamín.pérez32@dominiofalso.cl,socio,Contraseñadeprueba00.
449603699,Javiera,Reyes,javiera.reyes43@dominiofalso.cl,socio,Contraseñadeprueba00.
404891227,Valentina,Espinoza,valentina.espinoza62@dominiofalso.cl,socio,Contraseñadeprueba00.
748493700,Paz,Hernández,paz.hernández54@dominiofalso.cl,socio,Contraseñadeprueba00.
202507697,Matías,Espinoza,matías.espinoza62@dominiofalso.cl,socio,Contraseñadeprueba00.
454277155,Felipe,Díaz,felipe.díaz91@dominiofalso.cl,socio,Contraseñadeprueba00.
852089547,Sebastián,Sepúlveda,sebastián.sepúlveda39@dominiofalso.cl,socio,Contraseñadeprueba00.
504708012,Constanza,Silva,constanza.silva16@dominiofalso.cl,socio,Contraseñadeprueba00.
941470904,María,Gutiérrez,maría.gutiérrez46@dominiofalso.cl,socio,Contraseñadeprueba00.
35370205K,Andrés,Hernández,andrés.hernández74@dominiofalso.cl,socio,Contraseñadeprueba00.
763791920,Paz,Castillo,paz.castillo97@dominiofalso.cl,socio,Contraseñadeprueba00.
856301427,Miguel,Soto,miguel.soto48@dominiofalso.cl,socio,Contraseñadeprueba00.
778975297,Vicente,Tapia,vicente.tapia4@dominiofalso.cl,socio,Contraseñadeprueba00.
863024048,Constanza,Morales,constanza.morales73@dominiofalso.cl,socio,Contraseñadeprueba00.
529454015,Constanza,Torres,constanza.torres51@dominiofalso.cl,socio,Contraseñadeprueba00.
873056894,Andrés,Muñoz,andrés.muñoz60@dominiofalso.cl,socio,Contraseñadeprueba00.
913680278,Tomás,Vásquez,tomás.vásquez97@dominiofalso.cl,socio,Contraseñadeprueba00.
502486160,María,González,maría.gonzález21@dominiofalso.cl,admin,Contraseñadeprueba00.
760193879,Valentina,Soto,valentina.soto54@dominiofalso.cl,socio,Contraseñadeprueba00.
116267179,María,Morales,maría.morales63@dominiofalso.cl,socio,Contraseñadeprueba00.
73435269,Matías,Martínez,matías.martínez93@dominiofalso.cl,socio,Contraseñadeprueba00.
496320700,Felipe,Fernández,felipe.fernández24@dominiofalso.cl,socio,Contraseñadeprueba00.
248655593,Juan,González,juan.gonzález12@dominiofalso.cl,socio,Contraseñadeprueba00.
467959565,Antonia,Reyes,antonia.reyes67@dominiofalso.cl,socio,Contraseñadeprueba00.
999430791,Paz,Castro,paz.castro41@dominiofalso.cl,socio,Contraseñadeprueba00.
434862337,Sebastián,Sepúlveda,sebastián.sepúlveda30@dominiofalso.cl,socio,Contraseñadeprueba00.
823627521,Paz,Ramírez,paz.ramírez33@dominiofalso.cl,socio,Contraseñadeprueba00.
625121590,Camila,Ramírez,camila.ramírez25@dominiofalso.cl,socio,Contraseñadeprueba00.
304040793,Francisca,Gutiérrez,francisca.gutiérrez64@dominiofalso.cl,socio,Contraseñadeprueba00.
885948227,Pedro,Álvarez,pedro.álvarez59@dominiofalso.cl,socio,Contraseñadeprueba00.
739496039,Camila,Morales,camila.morales50@dominiofalso.cl,socio,Contraseñadeprueba00.
478465378,José,González,josé.gonzález66@dominiofalso.cl,socio,Contraseñadeprueba00.
720038129,Valentina,Ramírez,valentina.ramírez97@dominiofalso.cl,socio,Contraseñadeprueba00.
495089207,Javier,Contreras,javier.contreras40@dominiofalso.cl,socio,Contraseñadeprueba00.
75487578K,Andrés,González,andrés.gonzález66@dominiofalso.cl,socio,Contraseñadeprueba00.
14536891K,Isidora,Ramírez,isidora.ramírez54@dominiofalso.cl,socio,Contraseñadeprueba00.
377045181,Ana,Vásquez,ana.vásquez98@dominiofalso.cl,admin,Contraseñadeprueba00.
953693844,Javiera,Muñoz,javiera.muñoz63@dominiofalso.cl,socio,Contraseñadeprueba00.
326550108,Catalina,González,catalina.gonzález74@dominiofalso.cl,socio,Contraseñadeprueba00.
94754022K,José,Silva,josé.silva66@dominiofalso.cl,socio,Contraseñadeprueba00.
204830991,Matías,Soto,matías.soto59@dominiofalso.cl,socio,Contraseñadeprueba00.
467217283,Felipe,López,felipe.lópez98@dominiofalso.cl,socio,Contraseñadeprueba00.
