rut,nombre,apellido_paterno,apellido_materno,correo,telefono,fecha_nacimiento,plan,forma_pago,estado
17928441-3,Diego,Díaz,Contreras,diego.díaz2@correo.cl,+56998556433,05-09-1995,Plan Caballero,Efectivo,Inactivo
9665989-K,Ana,Muñoz,Pérez,ana.muñoz64@correo.cl,+56957345636,15-09-1996,Plan Caballero,Transferencia,Activo
13574476-K,Luis,Díaz,Pérez,luis.díaz20@correo.cl,+56988855511,27-09-2003,Plan Escudero,Transferencia,Inactivo
23215515-9,Ana,Rojas,Sepúlveda,ana.rojas49@correo.cl,+56978065719,19-02-1983,Plan Escudero,Transferencia,Inactivo
8751720-9,Ana,Silva,Muñoz,ana.silva80@correo.cl,+56982035547,11-07-1991,plan prueba,Tarjeta,Inactivo
22135745-0,Carlos,Contreras,Pérez,carlos.contreras66@correo.cl,+56989848499,18-11-2000,plan prueba,Tarjeta,Inactivo
11476255-5,Camila,Silva,Silva,camila.silva57@correo.cl,+56988544443,18-12-1988,Plan Rey,Transferencia,Activo
8249267-4,Sofía,Pérez,Contreras,sofía.pérez68@correo.cl,+56999069874,24-06-1979,Plan Rey,Transferencia,Activo
25513979-7,Valentina,Muñoz,,valentina.muñoz27@correo.cl,+56974284528,23-05-1998,Plan Escudero,Tarjeta,Activo
15967083-K,Juan,Pérez,Rojas,juan.pérez82@correo.cl,+56954036966,30-08-1958,plan prueba,Tarjeta,Activo
11118790-8,Pedro,González,Rojas,pedro.gonzález98@correo.cl,+56964987038,30-03-2005,plan prueba,Efectivo,Inactivo
12534364-3,Camila,Silva,Contreras,camila.silva93@correo.cl,+56954199490,22-01-1969,Plan Caballero,Efectivo,Inactivo
13023854-8,Ana,Díaz,,ana.díaz25@correo.cl,+56982406486,18-01-1983,Plan Escudero,Tarjeta,Inactivo
19803234-4,Ana,Contreras,Soto,ana.contreras29@correo.cl,+56999145264,18-12-1965,Plan Caballero,Transferencia,Inactivo
7034478-5,María,Sepúlveda,Sepúlveda,maría.sepúlveda62@correo.cl,+56978371702,12-01-1960,Plan Caballero,Transferencia,Inactivo
8761772-6,Juan,Contreras,,juan.contreras44@correo.cl,+56975516704,01-10-1959,Plan Caballero,Transferencia,Inactivo
24082739-5,Juan,Díaz,Pérez,juan.díaz98@correo.cl,+56953270770,25-03-1997,Plan Escudero,Transferencia,Inactivo
23454543-4,Juan,Rojas,Rojas,juan.rojas14@correo.cl,+56964282200,14-07-2004,plan prueba,Transferencia,Inactivo
16131281-9,María,Soto,Sepúlveda,maría.soto57@correo.cl,+56996015995,09-11-2005,Plan Rey,Efectivo,Activo
14595146-1,Pedro,Díaz,Díaz,pedro.díaz82@correo.cl,+56976650938,25-10-1973,plan prueba,Transferencia,Activo
9314547-K,Valentina,Soto,Soto,valentina.soto30@correo.cl,+56960689873,17-10-1975,Plan Escudero,Transferencia,Inactivo
8764717-K,Carlos,Díaz,Sepúlveda,carlos.díaz94@correo.cl,+56943958295,07-12-1975,Plan Escudero,Tarjeta,Inactivo
19489164-4,Camila,Rojas,Contreras,camila.rojas98@correo.cl,+56978250525,25-02-2001,plan prueba,Transferencia,Inactivo
9539361-6,Juan,Pérez,Silva,juan.pérez32@correo.cl,+56985687320,14-02-2000,Plan Caballero,Efectivo,Activo
22662845-2,María,Pérez,Silva,maría.pérez2@correo.cl,+56940951123,25-02-1976,Plan Rey,Transferencia,Inactivo
20102129-4,Sofía,Díaz,Rojas,sofía.díaz17@correo.cl,+56963900040,06-06-1978,Plan Rey,Tarjeta,Activo
8016929-9,Carlos,Rojas,Sepúlveda,carlos.rojas35@correo.cl,+56944897409,26-10-2003,Plan Escudero,Transferencia,Inactivo
16074939-3,Luis,Contreras,Martínez,luis.contreras46@correo.cl,+56970902813,22-05-1969,plan prueba,Tarjeta,Activo
13496313-1,Carlos,González,Contreras,carlos.gonzález6@correo.cl,+56985333672,14-02-1984,plan prueba,Tarjeta,Activo
7990353-1,Juan,Muñoz,,juan.muñoz19@correo.cl,+56968193850,28-03-1957,Plan Rey,Tarjeta,Inactivo
26679974-8,Diego,Contreras,,diego.contreras33@correo.cl,+56990090358,10-04-1957,Plan Caballero,Tarjeta,Activo
23494826-1,Camila,Sepúlveda,Martínez,camila.sepúlveda10@correo.cl,+56982896875,27-05-1975,plan prueba,Efectivo,Activo
16791387-3,Carlos,Silva,,carlos.silva53@correo.cl,+56990258180,21-03-1991,Plan Caballero,Transferencia,Inactivo
17636191-3,Carlos,Soto,,carlos.soto68@correo.cl,+56999775168,29-03-1971,Plan Caballero,Efectivo,Inactivo
7605566-1,Ana,Muñoz,Díaz,ana.muñoz98@correo.cl,+56977441849,13-06-1958,plan prueba,Tarjeta,Activo
12819676-5,Diego,González,Contreras,diego.gonzález60@correo.cl,+56957168600,22-03-1996,Plan Escudero,Tarjeta,Inactivo
26792185-7,Carlos,Pérez,Rojas,carlos.pérez17@correo.cl,+56968946889,12-05-2002,plan prueba,Tarjeta,Inactivo
13148898-K,Luis,Soto,Díaz,luis.soto5@correo.cl,+56978570346,10-05-1989,Plan Rey,Efectivo,Inactivo
24998194-K,Diego,Silva,Contreras,diego.silva96@correo.cl,+56980984570,03-06-1988,Plan Rey,Transferencia,Activo
22539141-6,Sofía,Contreras,Rojas,sofía.contreras85@correo.cl,+56951763266,27-05-1957,Plan Escudero,Transferencia,Inactivo
9523315-5,Carlos,Soto,Martínez,carlos.soto4@correo.cl,+56947503365,05-10-1981,Plan Escudero,Tarjeta,Inactivo
9352375-K,Diego,Rojas,Muñoz,diego.rojas91@correo.cl,+56974798838,12-12-1955,plan prueba,Tarjeta,Inactivo
25402277-2,Ana,Soto,Díaz,ana.soto19@correo.cl,+56980642754,08-09-1963,Plan Escudero,Transferencia,Activo
16922204-5,Ana,Soto,Rojas,ana.soto37@correo.cl,+56982447806,15-11-1987,Plan Rey,Efectivo,Activo
7024504-3,Diego,Muñoz,Martínez,diego.muñoz80@correo.cl,+56988363647,28-02-1976,Plan Rey,Efectivo,Inactivo
14162829-1,Diego,Díaz,Muñoz,diego.díaz93@correo.cl,+56970548435,18-02-1985,plan prueba,Tarjeta,Inactivo
19466117-7,Luis,Muñoz,Silva,luis.muñoz23@correo.cl,+56965133786,17-03-1971,Plan Caballero,Efectivo,Inactivo
21464322-7,Carlos,Díaz,Pérez,carlos.díaz49@correo.cl,+56978487465,28-09-1957,Plan Rey,Efectivo,Inactivo
19823805-8,Luis,Martínez,Muñoz,luis.martínez95@correo.cl,+56971964273,16-12-1994,Plan Rey,Tarjeta,Activo
21711694-5,Carlos,Rojas,,carlos.rojas34@correo.cl,+56968244331,17-07-1983,Plan Caballero,Transferencia,Activo
24415815-3,Pedro,Soto,Pérez,pedro.soto74@correo.cl,+56969531356,10-09-2005,Plan Caballero,Efectivo,Activo
21406225-9,Pedro,Sepúlveda,Silva,pedro.sepúlveda83@correo.cl,+56966764909,05-12-1972,Plan Caballero,Transferencia,Inactivo
8555023-3,Carlos,Rojas,Muñoz,carlos.rojas56@correo.cl,+56995645413,19-06-1961,plan prueba,Tarjeta,Activo
22581171-7,Valentina,Contreras,,valentina.contreras94@correo.cl,+56986748539,29-09-1971,Plan Rey,Efectivo,Inactivo
13810585-7,Luis,Rojas,Contreras,luis.rojas66@correo.cl,+56954147463,07-04-1962,Plan Escudero,Transferencia,Inactivo
23325839-3,Valentina,Silva,Rojas,valentina.silva40@correo.cl,+56941246812,02-07-2000,Plan Rey,Tarjeta,Activo
23951820-6,Juan,Sepúlveda,,juan.sepúlveda64@correo.cl,+56980771693,09-01-2003,Plan Caballero,Tarjeta,Activo
24104111-5,Sofía,Sepúlveda,Rojas,sofía.sepúlveda16@correo.cl,+56989913869,09-11-1967,Plan Escudero,Tarjeta,Inactivo
25068216-6,Sofía,Sepúlveda,,sofía.sepúlveda1@correo.cl,+56999352206,27-08-1958,Plan Rey,Efectivo,Inactivo
13153113-3,Diego,Pérez,Martínez,diego.pérez19@correo.cl,+56974139099,16-09-1981,plan prueba,Transferencia,Inactivo
23313408-2,Diego,Martínez,González,diego.martínez39@correo.cl,+56968501885,12-11-2006,Plan Escudero,Tarjeta,Inactivo
19260216-5,Sofía,González,Muñoz,sofía.gonzález37@correo.cl,+56952839731,15-10-1958,Plan Rey,Tarjeta,Activo
25383575-3,Valentina,González,,valentina.gonzález39@correo.cl,+56979571287,25-07-1962,Plan Caballero,Transferencia,Inactivo
16974996-5,Diego,González,Silva,diego.gonzález22@correo.cl,+56947429710,01-02-1988,plan prueba,Efectivo,Activo
24215147-K,María,Silva,Martínez,maría.silva60@correo.cl,+56995951124,04-08-1981,Plan Rey,Tarjeta,Activo
20429123-3,Diego,Díaz,Pérez,diego.díaz13@correo.cl,+56954549335,15-12-2003,Plan Rey,Tarjeta,Inactivo
8096233-9,Sofía,Sepúlveda,Silva,sofía.sepúlveda41@correo.cl,+56961691412,02-08-2003,plan prueba,Efectivo,Inactivo
19087450-8,Sofía,Muñoz,Silva,sofía.muñoz55@correo.cl,+56975275062,20-08-2004,Plan Escudero,Tarjeta,Inactivo
22839764-4,Sofía,González,Rojas,sofía.gonzález20@correo.cl,+56957705034,02-05-1971,plan prueba,Tarjeta,Inactivo
23775942-7,Camila,Pérez,Pérez,camila.pérez69@correo.cl,+56983403466,28-05-1983,Plan Escudero,Tarjeta,Activo
9823775-5,Camila,Díaz,,camila.díaz91@correo.cl,+56983865320,24-08-1983,Plan Escudero,Transferencia,Inactivo
26406821-5,María,Muñoz,Contreras,maría.muñoz55@correo.cl,+56942328678,03-03-2006,Plan Caballero,Efectivo,Activo
9099006-3,Sofía,Sepúlveda,Contreras,sofía.sepúlveda71@correo.cl,+56958655767,08-01-1979,Plan Caballero,Efectivo,Activo
25665756-2,Ana,Martínez,Silva,ana.martínez19@correo.cl,+56978613216,15-07-1973,plan prueba,Transferencia,Activo
22877452-9,Luis,González,,luis.gonzález82@correo.cl,+56959490655,17-02-1994,Plan Caballero,Transferencia,Activo
13410573-9,Carlos,Pérez,Muñoz,carlos.pérez98@correo.cl,+56987716800,15-03-1964,plan prueba,Tarjeta,Inactivo
25367178-5,Sofía,Martínez,Muñoz,sofía.martínez56@correo.cl,+56950165859,20-05-1996,plan prueba,Transferencia,Inactivo
18402068-8,Pedro,Soto,Martínez,pedro.soto54@correo.cl,+56941777240,17-06-1956,plan prueba,Efectivo,Activo
20226805-6,María,Silva,Muñoz,maría.silva64@correo.cl,+56994754434,22-09-1986,Plan Caballero,Tarjeta,Inactivo
19705168-K,María,Díaz,,maría.díaz51@correo.cl,+56956131740,10-03-1986,plan prueba,Transferencia,Inactivo
14283510-K,Carlos,Soto,Pérez,carlos.soto46@correo.cl,+56949359560,09-07-1962,plan prueba,Tarjeta,Activo
24776288-4,Diego,Sepúlveda,Martínez,diego.sepúlveda54@correo.cl,+56974691302,08-06-1957,Plan Rey,Transferencia,Activo
23705425-3,Luis,Martínez,Martínez,luis.martínez81@correo.cl,+56981269925,01-08-1971,Plan Escudero,Efectivo,Inactivo
21532241-6,Valentina,González,González,valentina.gonzález28@correo.cl,+56962867957,16-05-1992,Plan Escudero,Transferencia,Inactivo
24277549-K,Sofía,González,,sofía.gonzález87@correo.cl,+56977700961,04-06-1980,Plan Rey,Efectivo,Inactivo
15692482-2,Pedro,Contreras,,pedro.contreras39@correo.cl,+56996419736,27-12-1961,Plan Escudero,Efectivo,Inactivo
17829369-9,Diego,Silva,,diego.silva51@correo.cl,+56963479504,26-08-1957,Plan Escudero,Tarjeta,Activo
12233756-1,Ana,Rojas,,ana.rojas80@correo.cl,+56958043780,21-12-1955,Plan Caballero,Efectivo,Inactivo
15945418-5,Valentina,Díaz,Silva,valentina.díaz10@correo.cl,+56973318017,29-06-2001,Plan Rey,Transferencia,Inactivo
11271717-K,Pedro,González,Pérez,pedro.gonzález51@correo.cl,+56999880316,01-06-1961,Plan Escudero,Efectivo,Inactivo
25536307-7,Diego,Martínez,González,diego.martínez26@correo.cl,+56944107826,27-06-1959,Plan Caballero,Transferencia,Activo
7225545-3,Diego,Díaz,González,diego.díaz30@correo.cl,+56971689999,04-11-1967,Plan Rey,Tarjeta,Activo
8691021-7,Camila,Sepúlveda,,camila.sepúlveda38@correo.cl,+56973656266,08-05-1970,Plan Caballero,Transferencia,Activo
16415719-9,Juan,Rojas,Martínez,juan.rojas64@correo.cl,+56977472276,03-07-1981,Plan Escudero,Tarjeta,Activo
16067905-0,Ana,González,Muñoz,ana.gonzález91@correo.cl,+56972533839,18-11-1979,Plan Escudero,Tarjeta,Activo
22247466-3,Diego,Muñoz,Rojas,diego.muñoz2@correo.cl,+56983505791,21-03-1991,Plan Escudero,Tarjeta,Inactivo
18901178-4,María,González,Soto,maría.gonzález42@correo.cl,+56988309593,20-05-1970,plan prueba,Transferencia,Activo
12302694-2,Sofía,Muñoz,Contreras,sofía.muñoz52@correo.cl,+56950460152,18-02-1995,plan prueba,Tarjeta,Inactivo
9486791-6,Juan,Rojas,Muñoz,juan.rojas16@correo.cl,+56993076295,05-07-1969,Plan Caballero,Tarjeta,Activo
24266013-7,María,Silva,Rojas,maría.silva80@correo.cl,+56970752829,10-11-2003,Plan Rey,Efectivo,Activo
