rut,nombre,apellido,correo,rol,contraseña
10931952K,Martina,Gutiérrez,martina.gutiérrez58@dominiofalso.cl,profesor,Contraseñadeprueba00.
96708092,Daniela,Gutiérrez,daniela.gutiérrez84@dominiofalso.cl,profesor,Contraseñadeprueba00.
17670408K,Francisca,Vargas,francisca.vargas20@dominiofalso.cl,profesor,Contraseñadeprueba00.
220059367,María,Rojas,maría.rojas24@dominiofalso.cl,profesor,Contraseñadeprueba00.
168134770,Ana,Rojas,ana.rojas21@dominiofalso.cl,profesor,Contraseñadeprueba00.
214259613,Juan,Castillo,juan.castillo24@dominiofalso.cl,profesor,Contraseñadeprueba00.
169365180,Miguel,Hernández,miguel.hernández19@dominiofalso.cl,profesor,Contraseñadeprueba00.
149161546,Martina,Fuentes,martina.fuentes26@dominiofalso.cl,profesor,Contraseñadeprueba00.
12793391K,Paz,Vargas,paz.vargas63@dominiofalso.cl,profesor,Contraseñadeprueba00.
145898714,Valentina,Morales,valentina.morales43@dominiofalso.cl,profesor,Contraseñadeprueba00.
185253236,Juan,Álvarez,juan.álvarez36@dominiofalso.cl,profesor,Contraseñadeprueba00.
182104019,Javier,Silva,javier.silva34@dominiofalso.cl,profesor,Contraseñadeprueba00.
128462104,Benjamín,Sepúlveda,benjamín.sepúlveda71@dominiofalso.cl,profesor,Contraseñadeprueba00.
228210390,Tomás,Tapia,tomás.tapia4@dominiofalso.cl,profesor,Contraseñadeprueba00.
184117983,Vicente,González,vicente.gonzález66@dominiofalso.cl,profesor,Contraseñadeprueba00.
102887654,Constanza,Fernández,constanza.fernández69@dominiofalso.cl,profesor,Contraseñadeprueba00.
102267478,Constanza,Reyes,constanza.reyes70@dominiofalso.cl,profesor,Contraseñadeprueba00.
239031579,Matías,Díaz,matías.díaz25@dominiofalso.cl,profesor,Contraseñadeprueba00.
109556270,Carlos,Fernández,carlos.fernández5@dominiofalso.cl,profesor,Contraseñadeprueba00.
225687269,Tomás,Martínez,tomás.martínez34@dominiofalso.cl,profesor,Contraseñadeprueba00.
269002700,Ana,Hernández,ana.hernández3@dominiofalso.cl,profesor,Contraseñadeprueba00.
227140135,José,Silva,josé.silva53@dominiofalso.cl,admin,Contraseñadeprueba00.
199691554,José,Araya,josé.araya80@dominiofalso.cl,profesor,Contraseñadeprueba00.
133111964,Daniela,Reyes,daniela.reyes50@dominiofalso.cl,profesor,Contraseñadeprueba00.
106524688,Benjamín,Contreras,benjamín.contreras24@dominiofalso.cl,profesor,Contraseñadeprueba00.
8586484K,Camila,Castro,camila.castro81@dominiofalso.cl,profesor,Contraseñadeprueba00.
129262362,Catalina,Álvarez,catalina.álvarez76@dominiofalso.cl,profesor,Contraseñadeprueba00.
228889741,Luis,Torres,luis.torres80@dominiofalso.cl,profesor,Contraseñadeprueba00.
212413011,Sebastián,Valenzuela,sebastián.valenzuela48@dominiofalso.cl,profesor,Contraseñadeprueba00.
228760889,Fernanda,Reyes,fernanda.reyes30@dominiofalso.cl,profesor,Contraseñadeprueba00.
207510262,Luis,Flores,luis.flores66@dominiofalso.cl,profesor,Contraseñadeprueba00.
89595339,Pedro,Vásquez,pedro.vásquez57@dominiofalso.cl,profesor,Contraseñadeprueba00.
131482892,Valentina,Sepúlveda,valentina.sepúlveda81@dominiofalso.cl,profesor,Contraseñadeprueba00.
17676581K,Benjamín,López,benjamín.lópez91@dominiofalso.cl,profesor,Contraseñadeprueba00.
217046661,Constanza,Reyes,constanza.reyes61@dominiofalso.cl,profesor,Contraseñadeprueba00.
112519939,Matías,Castro,matías.castro59@dominiofalso.cl,profesor,Contraseñadeprueba00.
203197934,Matías,Fuentes,matías.fuentes57@dominiofalso.cl,profesor,Contraseñadeprueba00.
84097373,Sebastián,Martínez,sebastián.martínez22@dominiofalso.cl,profesor,Contraseñadeprueba00.
168710674,Felipe,Rojas,felipe.rojas37@dominiofalso.cl,profesor,Contraseñadeprueba00.
101087506,Vicente,Sepúlveda,vicente.sepúlveda30@dominiofalso.cl,profesor,Contraseñadeprueba00.
225436762,Felipe,González,felipe.gonzález90@dominiofalso.cl,profesor,Contraseñadeprueba00.
98733558,Catalina,Fuentes,catalina.fuentes42@dominiofalso.cl,profesor,Contraseñadeprueba00.
260292277,Miguel,Vásquez,miguel.vásquez49@dominiofalso.cl,profesor,Contraseñadeprueba00.
130551033,Valentina,Valenzuela,valentina.valenzuela72@dominiofalso.cl,admin,Contraseñadeprueba00.
240169096,Ana,Muñoz,ana.muñoz39@dominiofalso.cl,profesor,Contraseñadeprueba00.
97518157,Juan,Díaz,juan.díaz61@dominiofalso.cl,profesor,Contraseñadeprueba00.
175760679,Isidora,Contreras,isidora.contreras15@dominiofalso.cl,profesor,Contraseñadeprueba00.
159508854,Fernanda,Valenzuela,fernanda.valenzuela12@dominiofalso.cl,profesor,Contraseñadeprueba00.
239912141,Luis,Vargas,luis.vargas3@dominiofalso.cl,profesor,Contraseñadeprueba00.
227832355,Antonia,Muñoz,antonia.muñoz43@dominiofalso.cl,profesor,Contraseñadeprueba00.


